"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4927","Section text mismatch should fail visibility check","","Tue Jun 17 15:32:33 IST 2025","passed","Tue Jun 17 15:32:38 IST 2025","","Emerge Capital Navbar Navigation","",""
"","1894","Link with incorrect text should not be visible","","Tue Jun 17 15:32:31 IST 2025","passed","Tue Jun 17 15:32:33 IST 2025","","Emerge Capital Navbar Navigation","",""
"","3676","Navigate to About section","","Tue Jun 17 15:32:13 IST 2025","passed","Tue Jun 17 15:32:16 IST 2025","","Emerge Capital Navbar Navigation","",""
"","5039","Navigate to Portfolio section","","Tue Jun 17 15:32:17 IST 2025","passed","Tue Jun 17 15:32:22 IST 2025","","Emerge Capital Navbar Navigation","",""
"","6649","Submit the contact form with empty fields","","Tue Jun 17 15:31:12 IST 2025","failed","Tue Jun 17 15:31:19 IST 2025","","Contact Form on Emerge Capital","",""
"","3011","All navbar links are visible","","Tue Jun 17 15:32:03 IST 2025","passed","Tue Jun 17 15:32:06 IST 2025","","Emerge Capital Navbar Navigation","",""
"","20760","Submit the contact form with long message","","Tue Jun 17 15:31:25 IST 2025","passed","Tue Jun 17 15:31:46 IST 2025","","Contact Form on Emerge Capital","",""
"","14417","Submit the contact form with valid data","","Tue Jun 17 15:30:57 IST 2025","failed","Tue Jun 17 15:31:12 IST 2025","","Contact Form on Emerge Capital","",""
"","4117","Incorrect casing in section should fail","","Tue Jun 17 15:32:38 IST 2025","passed","Tue Jun 17 15:32:42 IST 2025","","Emerge Capital Navbar Navigation","",""
"","1970","Open the Twitter","","Tue Jun 17 15:31:55 IST 2025","passed","Tue Jun 17 15:31:57 IST 2025","","Emerge Capital Footer Navigation","",""
"","2776","Reload the page","","Tue Jun 17 15:31:52 IST 2025","passed","Tue Jun 17 15:31:55 IST 2025","","Emerge Capital Footer Navigation","",""
"","3653","Navigate to Contact section","","Tue Jun 17 15:32:27 IST 2025","passed","Tue Jun 17 15:32:31 IST 2025","","Emerge Capital Navbar Navigation","",""
"","5549","Navigate to Sponsors section","","Tue Jun 17 15:32:22 IST 2025","passed","Tue Jun 17 15:32:27 IST 2025","","Emerge Capital Navbar Navigation","",""
"","6106","Submit the contact form with invalid email","","Tue Jun 17 15:31:19 IST 2025","passed","Tue Jun 17 15:31:25 IST 2025","","Contact Form on Emerge Capital","",""
"","6079","Navigate to Home section","","Tue Jun 17 15:32:07 IST 2025","passed","Tue Jun 17 15:32:13 IST 2025","","Emerge Capital Navbar Navigation","",""
